time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_clearance_m,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_clearance_m,right_q_m,right_actuator_N,left_effective,right_effective
0.5510000000000004,settle,-2.488462643281473e-12,3.948056739772906e-09,0.02999882641363417,0.0,0.0,0.09996826439428554,-2.488462643281473e-12,3.948056739772906e-09,-0.06996943798065136,-4.585822403154553e-15,5.508733339328505e-11,1.7553058974528757e-09,1.1735870745419041e-06,0.7847999999999751,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5520000000000004,settle,-2.5195624937541442e-12,3.9479917070499055e-09,0.029998826413634168,0.0,0.0,0.09996826439428659,-2.5195624937541442e-12,3.9479917070499055e-09,-0.06996943798065242,-4.898072628830379e-15,7.208644660558022e-11,5.770966198149711e-09,1.173587305419721e-06,0.7848000000000381,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5530000000000004,settle,-2.5483517788159392e-12,3.9479315048840405e-09,0.029998826413634164,0.0,0.0,0.0999682643942957,-2.5483517788159392e-12,3.9479315048840405e-09,-0.06996943798066153,-4.422064507022343e-15,6.67317295504099e-11,3.2005012212492585e-09,1.1735874334596608e-06,0.7848000000000328,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5540000000000004,settle,-2.5767054709965246e-12,3.947872212215132e-09,0.02999882641363416,0.0,0.0,0.09996826439428377,-2.5767054709965246e-12,3.947872212215132e-09,-0.06996943798064961,-4.012669766691816e-15,6.572330228042866e-11,1.4081399873526447e-09,1.1735874897965404e-06,0.7848000000000296,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5550000000000004,settle,-2.6052629562359275e-12,3.9478124920945305e-09,0.029998826413634157,0.0,0.0,0.09996826439428484,-2.6052629562359275e-12,3.9478124920945305e-09,-0.06996943798065068,-3.644908389784733e-15,6.619684872574916e-11,1.8030144023475227e-10,1.1735874970095206e-06,0.7848000000000269,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5560000000000004,settle,-2.6340295574897654e-12,3.947752333602801e-09,0.029998826413634154,0.0,0.0,0.09996826439429402,-2.6340295574897654e-12,3.947752333602801e-09,-0.06996943798065985,-3.3090659248356234e-15,6.668254258683472e-11,6.398505992874116e-10,1.1735874714154104e-06,0.7848000000000253,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5570000000000004,settle,-2.6627258842282296e-12,3.947692321145861e-09,0.02999882641363415,0.0,0.0,0.099968264394282,-2.6627258842282296e-12,3.947692321145861e-09,-0.06996943798064785,-2.9940401415982354e-15,6.652047929149437e-11,1.1673295562204846e-09,1.1735874247166544e-06,0.7848000000000243,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5580000000000004,settle,-2.6909824445576416e-12,3.9476332277409955e-09,0.029998826413634147,0.0,0.0,0.09996826439428307,-2.6909824445576416e-12,3.9476332277409955e-09,-0.06996943798064892,-2.694279924949443e-15,6.550163133474725e-11,1.4863161874085648e-09,1.1735873652572726e-06,0.7848000000000238,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5590000000000004,settle,-2.7184410516037433e-12,3.94757580260647e-09,0.029998826413634144,0.0,0.0,0.0999682643942923,-2.7184410516037433e-12,3.94757580260647e-09,-0.06996943798065815,-2.3972952658622137e-15,6.365234624101014e-11,1.6582876235875994e-09,1.1735872989179774e-06,0.7848000000000235,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5600000000000004,settle,-2.744801770983649e-12,3.947520673224941e-09,0.02999882641363414,0.0,0.0,0.09996826439428019,-2.744801770983649e-12,3.947520673224941e-09,-0.06996943798064606,-2.1044739431173288e-15,6.110757922201588e-11,1.7280026856952344e-09,1.173587229789247e-06,0.7848000000000228,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5610000000000004,settle,-2.769838855542015e-12,3.947468311739915e-09,0.029998826413634137,0.0,0.0,0.09996826439428128,-2.769838855542015e-12,3.947468311739915e-09,-0.06996943798064714,-1.8199792930571324e-15,5.803947553735639e-11,1.7279261534068576e-09,1.1735871606639858e-06,0.7848000000000228,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5620000000000004,settle,-2.7934004030033608e-12,3.947419035899779e-09,0.029998826413634137,0.0,0.0,0.09996826439429057,-2.7934004030033608e-12,3.947419035899779e-09,-0.06996943798065644,-1.535484642996936e-15,5.4619181083233395e-11,1.6814904060971506e-09,1.1735870933948789e-06,0.7848000000000153,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5630000000000004,settle,-2.8154000129062478e-12,3.947373026474994e-09,0.029998826413634137,0.0,0.0,0.09996826439427839,-2.8154000129062478e-12,3.947373026474994e-09,-0.06996943798064426,-1.3467467288106595e-15,5.099852945719942e-11,1.6055034736855382e-09,1.1735870291650075e-06,0.7847999999984363,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5640000000000004,settle,-2.8467224022065624e-12,3.947307518364296e-09,0.029998826413634116,0.0,0.0,0.09996826439427947,-2.8467224022065624e-12,3.947307518364296e-09,-0.06996943798064535,-2.089222307733654e-14,7.261132883505236e-11,7.947362929751594e-09,1.173587347119004e-06,0.7848000000005797,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5650000000000004,settle,-2.8759945347109416e-12,3.9472462970211965e-09,0.029998826413634102,0.0,0.0,0.09996826439428884,-2.8759945347109416e-12,3.9472462970211965e-09,-0.06996943798065473,-1.3648017841657394e-14,6.785949291357447e-11,4.617757343582701e-09,1.1735875318670541e-06,0.7848000000004145,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5660000000000004,settle,-2.905494864797679e-12,3.947184596828021e-09,0.029998826413634095,0.0,0.0,0.09996826439427656,-2.905494864797679e-12,3.947184596828021e-09,-0.06996943798064247,-8.468827431781039e-15,6.838993628296935e-11,2.283333295080912e-09,1.1735876232175924e-06,0.7848000000002907,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5670000000000004,settle,-2.9359467522503052e-12,3.94712090503651e-09,0.02999882641363409,0.0,0.0,0.09996826439427765,-2.9359467522503052e-12,3.94712090503651e-09,-0.06996943798064356,-4.837010362475995e-15,7.059717967951184e-11,6.720624962255974e-10,1.1735876501058062e-06,0.7848000000002003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5680000000000004,settle,-2.9672798670422953e-12,3.947055368907079e-09,0.029998826413634088,0.0,0.0,0.09996826439428709,-2.9672798670422953e-12,3.947055368907079e-09,-0.069969437980653,-2.3348452207270487e-15,7.264123036432839e-11,4.1592885089984313e-10,1.173587633469808e-06,0.7848000000001407,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5690000000000004,settle,-2.9990719560557614e-12,3.9469888719492254e-09,0.029998826413634088,0.0,0.0,0.09996826439427473,-2.9990719560557614e-12,3.9469888719492254e-09,-0.06996943798064063,-5.76529505476957e-16,7.370605353638315e-11,1.127309015724642e-09,1.1735875883704672e-06,0.7848000000000935,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
