time_s,phase,joint1_position_rad,joint1_velocity_radps,joint1_target_rad,joint2_position_rad,joint2_velocity_radps,joint2_target_rad,joint3_position_rad,joint3_velocity_radps,joint3_target_rad,joint4_position_rad,joint4_velocity_radps,joint4_target_rad,joint5_position_rad,joint5_velocity_radps,joint5_target_rad,joint6_position_rad,joint6_velocity_radps,joint6_target_rad,tcp_x_m,tcp_y_m,tcp_z_m,contact_count,max_penetration_m
1.8559999999999064,pose1_hold,0.15053136719861177,-5.594197782561774e-07,0.1505313348427364,0.8999658784044761,-5.83904084478267e-07,0.8999658440115703,-0.8000085529861277,3.6830007926163985e-07,-0.800008533847622,0.09759010304945032,-2.3554336677095786e-08,0.09759010281719747,0.24998472969859387,1.3491970386905828e-06,0.249984821351527,0.10248253491066299,-3.254269918696834e-07,0.10248250911985896,0.30993907963573786,0.052283836339416814,0.33106541677869483,0,0.0
1.8569999999999063,pose1_hold,0.1505313666487118,-5.498999703229088e-07,0.1505313348427364,0.8999658778299803,-5.74495734781266e-07,0.8999658440115703,-0.8000085526249301,3.611975799964198e-07,-0.800008533847622,0.09759010302662025,-2.2830071844543957e-08,0.09759010281719747,0.24998473102774363,1.329149751097402e-06,0.249984821351527,0.10248253458928956,-3.21373428492572e-07,0.10248250911985896,0.30993907945534055,0.05228383616343929,0.33106541651723664,0,0.0
1.8579999999999062,pose1_hold,0.15053136610816947,-5.405423223406368e-07,0.1505313348427364,0.8999658772647487,-5.652314900002951e-07,0.8999658440115703,-0.8000085522706941,3.542359223243847e-07,-0.800008533847622,0.09759010300449661,-2.212363479220285e-08,0.09759010281719747,0.24998473233715432,1.309410687582898e-06,0.249984821351527,0.10248253427191922,-3.173703392852711e-07,0.10248250911985896,0.30993907927776654,0.05228383599049587,0.3310654162601674,0,0.0
1.858999999999906,pose1_hold,0.1505313655768254,-5.31344069667336e-07,0.1505313348427364,0.8999658767086395,-5.561092639161057e-07,0.8999658440115703,-0.8000085519232818,3.4741227990004834e-07,-0.800008533847622,0.09759010298306198,-2.1434628233697082e-08,0.09759010281719747,0.24998473362712925,1.289974936786233e-06,0.249984821351527,0.10248253395850213,-3.134170959021313e-07,0.10248250911985896,0.30993907910297186,0.052283835820533975,0.3310654160074052,0,0.0
1.859999999999906,pose1_hold,0.1505313650545229,-5.223024948776414e-07,0.1505313348427364,0.8999658761615125,-5.471269997903001e-07,0.8999658440115703,-0.8000085515825579,3.407238818915141e-07,-0.800008533847622,0.09759010296229931,-2.0762663161110994e-08,0.09759010281719747,0.2499847348979669,1.2708376670537831e-06,0.249984821351527,0.10248253364898904,-3.095130778206522e-07,0.10248250911985896,0.30993907893091427,0.05228383565350255,0.33106541575886966,0,0.0
1.8609999999999058,pose1_hold,0.15053136454110796,-5.134149269244472e-07,0.1505313348427364,0.8999658756232298,-5.382826698484811e-07,0.8999658440115703,-0.8000085512483899,3.34168011918384e-07,-0.800008533847622,0.09759010294219195,-2.0107358782074256e-08,0.09759010281719747,0.24998473614996103,1.2519941252263492e-06,0.249984821351527,0.10248253334333138,-3.0565767224454013e-07,0.10248250911985896,0.3099390787615508,0.0522838354893517,0.33106541551448204,0,0.0
1.8619999999999057,pose1_hold,0.15053136403642922,-5.046787403695977e-07,0.1505313348427364,0.8999658750936556,-5.295742748855391e-07,0.8999658440115703,-0.8000085509206478,3.2774200700570823e-07,-0.800008533847622,0.0975901029227236,-1.9468342337881796e-08,0.09759010281719747,0.24998473738340066,1.2334396354928967e-06,0.249984821351527,0.1024825330414811,-3.018502740599774e-07,0.10248250911985896,0.3099390785948404,0.05228383532803196,0.33106541527416566,0,0.0
1.8629999999999056,pose1_hold,0.15053136354033786,-4.96091354533108e-07,0.1505313348427364,0.8999658745726558,-5.209998437279877e-07,0.8999658440115703,-0.8000085505992046,3.2144325655852956e-07,-0.800008533847622,0.09759010290387836,-1.8845248951126395e-08,0.09759010281719747,0.24998473859857026,1.2151695981687943e-06,0.249984821351527,0.10248253274339081,-2.9809028556366386e-07,0.10248250911985896,0.3099390784307417,0.05228383516949497,0.331065415037845,0,0.0
1.8639999999999055,pose1_hold,0.15053136305268763,-4.876502327593196e-07,0.1505313348427364,0.8999658740600983,-5.125574330071028e-07,0.8999658440115703,-0.8000085502839354,3.1526920182962896e-07,-0.800008533847622,0.09759010288564064,-1.8237721422400052e-08,0.09759010281719747,0.24998473979574976,1.197179487784731e-06,0.249984821351527,0.10248253244901369,-2.9437711659374266e-07,0.10248250911985896,0.3099390782692147,0.052283835013692964,0.3310654148054457,0,0.0
1.8649999999999054,pose1_hold,0.15053136257333474,-4.7935288174169e-07,0.1505313348427364,0.8999658735558532,-5.042451264119643e-07,0.8999658440115703,-0.800008549974718,3.092173340848869e-07,-0.800008533847622,0.09759010286799523,-1.7645410046556767e-08,0.09759010281719747,0.24998474097521461,1.179464853395508e-06,0.249984821351527,0.10248253215830351,-2.907101843160113e-07,0.10248250911985896,0.30993907811021915,0.05228383486057858,0.33106541457689553,0,0.0
1.8659999999999053,pose1_hold,0.15053136210213788,-4.711968506536904e-07,0.1505313348427364,0.8999658730597921,-4.960610346498406e-07,0.8999658440115703,-0.8000085496714329,3.0328519468053316e-07,-0.800008533847622,0.09759010285092726,-1.706797251260399e-08,0.09759010281719747,0.24998474213723593,1.1620213156907157e-06,0.249984821351527,0.1024825318712146,-2.870889131879666e-07,0.10248250911985896,0.309939077953716,0.05228383471010654,0.3310654143521233,0,0.0
